Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,736.7,749.35,732.05,736.7,746.25,745.4,744.19,795.00,539.0,"1,115,771","830,340,909.40","44,264"
23-Jun-2023,EQ,742.6,745.7,734.1,740.8,736.6,736.7,738.79,795.00,539.0,"617,906","456,504,326.05","21,083"
22-Jun-2023,EQ,751.0,756.65,732.5,749.55,742.9,740.8,745.89,795.00,539.0,"2,295,370","1,712,100,252.75","55,567"
21-Jun-2023,EQ,770.95,773.85,748.1,767.55,750.9,749.55,758.42,795.00,539.0,"1,089,259","826,114,234.65","31,745"
20-Jun-2023,EQ,772.1,772.15,763.8,772.1,768.5,767.55,767.11,795.00,539.0,"493,662","378,693,913.20","17,898"
19-Jun-2023,EQ,778.75,784.0,767.9,778.75,770.7,772.1,773.94,795.00,539.0,"740,479","573,085,849.30","24,418"
16-Jun-2023,EQ,777.0,782.7,773.2,775.7,777.8,778.75,778.57,795.00,539.0,"666,115","518,620,357.65","29,290"
15-Jun-2023,EQ,772.6,779.55,765.05,772.2,776.95,775.7,773.94,795.00,539.0,"1,584,856","1,226,589,055.20","57,676"
14-Jun-2023,EQ,767.0,775.0,764.1,763.8,771.7,772.2,771.7,795.00,539.0,"1,691,498","1,305,335,210.65","32,785"
13-Jun-2023,EQ,761.0,765.65,758.15,761.45,763.0,763.8,762.0,795.00,539.0,"1,270,095","967,818,424.45","36,316"
12-Jun-2023,EQ,767.0,769.95,750.4,762.25,762.0,761.45,757.98,795.00,539.0,"1,134,935","860,260,487.95","32,824"
09-Jun-2023,EQ,757.45,764.55,750.15,755.4,760.5,762.25,759.24,"1,287.75",539.0,"1,450,577","1,101,334,597.45","42,144"
08-Jun-2023,EQ,765.9,775.15,752.45,762.55,755.0,755.4,764.72,"1,287.75",539.0,"1,525,613","1,166,659,334.40","44,965"
07-Jun-2023,EQ,757.0,767.25,755.0,751.9,760.25,762.55,762.94,"1,287.75",539.0,"1,600,037","1,220,732,932.85","41,224"
06-Jun-2023,EQ,750.0,754.45,740.05,750.95,754.45,751.9,746.88,"1,287.75",539.0,"2,936,010","2,192,839,569.05","52,718"
05-Jun-2023,EQ,765.25,772.55,749.0,773.45,750.9,750.95,755.55,"1,287.75",539.0,"2,901,296","2,192,085,732.40","39,562"
02-Jun-2023,EQ,774.0,779.95,768.95,769.75,773.0,773.45,773.07,"1,337.50",539.0,"1,927,608","1,490,173,258.25","42,760"
01-Jun-2023,EQ,778.0,782.15,765.3,776.9,771.95,769.75,774.0,"1,337.50",539.0,"1,386,561","1,073,195,211.75","67,898"
31-May-2023,EQ,773.0,785.0,758.0,776.15,777.95,776.9,773.44,"1,337.50",539.0,"3,839,806","2,969,848,193.80","83,344"
30-May-2023,EQ,789.45,789.45,771.0,790.4,775.45,776.15,778.13,"1,337.50",539.0,"1,145,487","891,339,733.75","54,678"
29-May-2023,EQ,780.3,795.0,776.55,778.2,794.0,790.4,788.28,"1,337.50",539.0,"2,625,329","2,069,482,391.30","40,279"
26-May-2023,EQ,767.7,780.0,766.05,769.9,775.15,778.2,773.21,"1,355.00",539.0,"1,075,483","831,575,249.35","28,606"
25-May-2023,EQ,763.9,773.2,762.1,765.9,769.0,769.9,768.24,"1,355.00",539.0,"1,192,141","915,851,686.65","33,248"
24-May-2023,EQ,762.7,767.7,749.45,762.7,765.0,765.9,760.16,"1,355.00",539.0,"1,402,441","1,066,076,838.95","56,747"
23-May-2023,EQ,758.0,774.55,756.3,758.5,762.95,762.7,765.39,"1,355.00",539.0,"1,669,877","1,278,112,042.65","79,824"
22-May-2023,EQ,753.8,761.45,752.3,753.8,756.35,758.5,756.4,"1,355.00",539.0,"1,596,957","1,207,946,226.90","69,091"
19-May-2023,EQ,747.6,756.0,734.0,747.6,755.5,753.8,745.76,"1,355.00",539.0,"2,181,998","1,627,253,571.45","91,970"
18-May-2023,EQ,731.0,754.9,728.45,730.85,750.0,747.6,747.44,"1,355.00",539.0,"3,422,021","2,557,745,192.90","98,990"
17-May-2023,EQ,728.85,732.0,718.8,728.9,729.7,730.85,725.85,"1,355.00",539.0,"1,459,862","1,059,642,469.85","55,017"
16-May-2023,EQ,716.95,736.85,714.85,716.95,729.0,728.9,728.59,"1,355.00",539.0,"2,622,132","1,910,465,142.35","65,598"
15-May-2023,EQ,712.8,721.55,709.35,712.95,715.75,716.95,716.43,"1,355.00",539.0,"1,375,218","985,253,794.35","54,444"
12-May-2023,EQ,703.6,715.7,697.0,706.65,713.0,712.95,709.56,"1,355.00",539.0,"1,641,770","1,164,931,694.10","46,394"
11-May-2023,EQ,699.0,709.95,686.9,692.75,706.35,706.65,702.26,"1,355.00",539.0,"2,935,100","2,061,193,972.65","68,101"
